,year,avg_vote,genre_1,genre_2,genre_2
0,1894,5.9,Romance,,
1,1906,6.1,Biography,Crime,Drama
2,1911,5.8,Drama,,
3,1912,5.2,Drama,History,
4,1911,7.0,Adventure,Drama,Fantasy
5,1912,5.7,Biography,Drama,
6,1919,6.8,Biography,Drama,Romance
7,1913,6.2,Drama,History,
8,1912,6.7,History,War,
9,1912,5.5,Drama,,
10,1913,6.6,Drama,,
11,1913,7.0,Crime,Drama,
12,1913,7.1,Drama,,
13,1913,7.0,Crime,Drama,
14,1914,6.2,Drama,,
15,1914,6.5,Drama,War,
16,1913,7.0,Crime,Drama,Mystery
17,1914,5.8,Drama,,
18,1913,6.5,Drama,Fantasy,Horror
19,1913,6.0,Crime,Drama,
20,1913,6.2,Adventure,Drama,
21,1915,6.4,Drama,,
22,1914,6.4,Crime,Drama,Horror
23,1914,6.5,Western,,
24,1914,7.1,Adventure,Drama,History
25,1914,6.0,Fantasy,Drama,
26,1913,7.5,Crime,Drama,
27,1914,6.9,Crime,Drama,
28,1914,5.8,Comedy,,
29,1915,6.8,Horror,,
30,1914,7.0,Drama,Mystery,
31,1914,5.2,Family,Fantasy,Adventure
32,1915,6.6,Drama,,
33,1914,5.8,Drama,History,
34,1914,6.1,Drama,,
35,1914,5.5,Adventure,Family,Fantasy
36,1914,6.3,Action,Adventure,Drama
37,1914,5.7,Action,Drama,Romance
38,1914,6.1,Drama,,
39,1914,6.3,Comedy,,
40,1915,6.3,Drama,,
41,1914,5.3,Drama,,
42,1914,5.6,Western,,
43,1914,6.4,Comedy,Drama,
44,1914,5.7,Drama,Romance,
45,1915,6.6,Crime,Drama,
46,1915,6.2,Adventure,Family,Fantasy
47,1915,6.3,Drama,History,War
48,1915,6.4,Drama,,
49,1915,6.6,Drama,Romance,
50,1915,6.0,Drama,History,War
51,1915,5.8,Drama,,
52,1915,6.4,Drama,,
53,1916,6.8,Crime,Drama,Horror
54,1915,6.6,Drama,,
55,1915,5.9,Adventure,,
56,1915,5.6,Drama,History,War
57,1915,6.1,Drama,,
58,1915,6.9,Drama,,
59,1917,6.9,Drama,Fantasy,Horror
60,1915,6.8,Biography,Crime,Drama
61,1915,7.3,Action,Adventure,Crime
62,1915,5.9,Comedy,,
63,1916,6.2,Action,Adventure,Sci-Fi
64,1916,4.5,Drama,,
65,1915,6.0,Drama,,
66,1916,6.8,Drama,,
67,1916,6.1,Comedy,Crime,Drama
68,1916,6.4,Adventure,Comedy,
69,1916,5.3,Crime,Drama,
70,1916,6.6,Romance,Western,
71,1916,5.7,Crime,Drama,Romance
72,1916,6.6,Western,,
73,1916,6.8,Romance,Western,
74,1916,5.9,Comedy,,
75,1916,5.6,Comedy,Drama,Romance
76,1916,7.8,Drama,History,
77,1916,7.4,Adventure,Crime,
78,1916,6.0,Comedy,Romance,
79,1916,7.0,Drama,Fantasy,Horror
80,1916,4.7,Action,Comedy,Drama
81,1916,6.5,Action,Adventure,Romance
82,1916,5.6,Comedy,,
83,1916,6.4,Mystery,,
84,1916,6.8,Drama,,
85,1916,6.2,Fantasy,Romance,
86,1916,5.3,Comedy,Drama,
87,1916,5.8,Drama,,
88,1916,6.3,Drama,,
89,1917,5.9,Drama,Western,
90,1917,6.0,Western,,
91,1917,6.5,Biography,Drama,History
92,1917,6.1,Horror,,
93,1917,6.1,Comedy,,
94,1918,6.5,Adventure,Fantasy,Sci-Fi
95,1916,6.5,Adventure,Drama,History
96,1917,5.9,Drama,Romance,War
97,1917,5.7,Drama,,
98,1917,6.4,Drama,,
99,1917,6.7,Adventure,Comedy,Western
100,1918,7.1,Biography,Drama,History
101,1917,6.7,Comedy,Drama,Family
102,1917,6.4,Adventure,Crime,Romance
103,1917,6.1,Comedy,Drama,
104,1917,5.7,Adventure,Comedy,Drama
105,1917,6.9,Drama,,
106,1917,6.2,Western,,
107,1917,6.0,Drama,History,Romance
108,1917,7.4,Drama,War,
109,1917,6.0,Comedy,,
110,1917,4.8,Comedy,,
111,1917,6.1,Adventure,Comedy,Drama
112,1917,6.7,Drama,,
113,1917,6.4,Comedy,Western,Romance
114,1918,5.8,Comedy,Romance,
115,1919,5.9,Drama,,
116,1918,5.5,Drama,Horror,
117,1918,7.3,Drama,,
118,1918,7.0,Family,Fantasy,
119,1918,6.0,Romance,,
120,1918,6.0,Drama,,
121,1918,5.9,Drama,,
122,1917,6.2,Comedy,,
123,1918,5.4,Drama,Romance,
124,1918,6.4,Drama,War,
125,1918,6.1,Western,,
126,1918,5.1,Comedy,Romance,
127,1918,6.5,Comedy,Drama,
128,1918,5.2,Drama,,
129,1918,5.9,Comedy,Drama,
130,1918,6.4,Drama,,
131,1918,4.4,Comedy,Romance,
132,1919,6.1,Drama,Romance,
133,1918,5.1,Drama,,
134,1918,7.3,Comedy,War,
135,1918,6.7,Drama,,
136,1918,5.7,Action,Adventure,
137,1918,7.0,Adventure,Mystery,
138,1918,5.9,Drama,War,
139,1918,6.8,Drama,,
140,1919,7.0,Crime,Drama,History
141,1919,5.9,Drama,History,Romance
142,1919,7.2,Comedy,,
143,1919,7.1,Action,Crime,
144,1919,6.3,Adventure,Romance,Western
145,1919,7.1,Drama,Thriller,War
146,1919,7.0,Drama,Romance,
147,1919,7.3,Drama,Romance,
148,1919,5.7,Drama,Sport,
149,1919,6.5,Comedy,Drama,
150,1919,5.9,Comedy,Drama,
151,1919,6.6,Comedy,,
152,1919,5.3,Drama,,
153,1919,5.4,Drama,,
154,1919,6.5,Comedy,,
155,1919,5.8,Drama,,
156,1919,6.8,Adventure,Drama,
157,1919,5.6,Drama,,
158,1919,3.9,Adventure,Comedy,Romance
159,1919,5.6,Drama,Romance,
160,1919,7.3,Drama,History,
161,1919,6.7,Comedy,,
162,1918,6.9,Comedy,Romance,
163,1919,6.9,Drama,,
164,1919,7.7,Drama,Horror,War
165,1920,8.1,Fantasy,Horror,Mystery
166,1919,7.0,Adventure,Drama,
167,1919,6.0,Comedy,,
168,1919,6.6,Drama,,
169,1919,6.9,Drama,,
170,1919,6.3,Drama,History,Horror
171,1919,6.6,Drama,,
172,1919,7.4,Comedy,Fantasy,
173,1919,5.2,Comedy,Drama,Sport
174,1919,4.9,Adventure,Romance,Western
175,1919,6.3,Drama,Romance,
176,1919,6.6,Adventure,Western,
177,1919,6.9,Drama,Romance,
178,1919,7.0,Comedy,Drama,Romance
179,1919,6.5,Fantasy,Horror,Mystery
180,1919,6.6,Drama,Romance,
181,1919,6.7,Western,,
182,1919,6.9,Action,Comedy,Romance
183,1919,6.4,Drama,Crime,
184,1919,5.5,Comedy,,
185,1920,6.3,Fantasy,Sci-Fi,
186,1920,6.6,Biography,Drama,Romance
187,1920,6.4,Drama,Crime,
188,1921,6.7,Adventure,Fantasy,Mystery
189,1920,6.7,Drama,,
190,1920,7.0,Drama,Horror,Sci-Fi
191,1920,6.6,Comedy,Romance,
192,1920,6.2,Crime,Drama,Romance
193,1920,6.6,Comedy,,
194,1921,6.4,Drama,,
195,1920,6.0,Horror,,
196,1920,7.2,Fantasy,Horror,
197,1920,5.1,Biography,Comedy,Drama
198,1924,7.1,Drama,,
199,1920,6.9,Drama,,
200,1920,6.2,Drama,,
201,1920,6.2,Drama,,
202,1920,6.6,Comedy,Drama,Western
203,1920,6.0,Drama,,
204,1920,6.8,Drama,,
205,1920,6.7,Comedy,Romance,
206,1920,6.7,Action,Adventure,Drama
207,1920,4.9,Comedy,Romance,
208,1920,5.9,Drama,,
209,1920,7.1,Adventure,Romance,Western
210,1921,6.6,Drama,,
211,1920,6.5,Adventure,Comedy,Romance
212,1920,5.7,Drama,,
